Date,AAPL,CAT,GLD,JNJ,JPM,PG,UNG,USO,XOM
2018-01-02,40.26707077026367,131.2938995361328,125.1500015258789,110.13080596923828,85.90129089355469,72.28071594238281,96.16000366210938,96.55999755859375,58.18548583984375
2018-01-03,40.26005935668945,131.4945526123047,124.81999969482422,111.1828384399414,85.98880767822266,72.19297790527344,94.55999755859375,98.72000122070312,59.328243255615234
2018-01-04,40.44707107543945,133.3004608154297,125.45999908447266,111.17494201660156,87.22064208984375,72.70330047607422,90.72000122070312,98.95999908447266,59.41036605834961
2018-01-05,40.9075813293457,135.4073028564453,125.33000183105469,112.09249114990234,86.66072845458984,72.75115203857422,88.31999969482422,98.4800033569336,59.362483978271484
2018-01-08,40.755645751953125,138.81005859375,125.30999755859375,112.23487091064453,86.78871154785156,73.13389587402344,89.19999694824219,99.04000091552734,59.629337310791016
2018-01-09,40.750953674316406,139.14437866210938,124.7300033569336,114.0146255493164,87.22865295410156,72.59964752197266,93.19999694824219,100.55999755859375,59.37615203857422
2018-01-10,40.741600036621094,138.67623901367188,125.02999877929688,113.88016510009766,88.18853759765625,72.1371841430664,91.95999908447266,101.44000244140625,58.90399932861328
2018-01-11,40.973018646240234,141.46029663085938,125.44000244140625,114.5287857055664,88.66046142578125,71.88201904296875,97.5999984741211,101.5999984741211,59.48563766479492
2018-01-12,41.3961296081543,142.3799591064453,126.95999908447266,115.29605102539062,90.12427520751953,71.45146179199219,101.12000274658203,102.95999908447266,59.88938522338867
2018-01-16,41.18574523925781,141.55227661132812,127.16999816894531,116.16615295410156,89.80431365966797,71.93783569335938,98.4000015258789,102.08000183105469,59.51300811767578
2018-01-17,41.86598205566406,140.87510681152344,126.13999938964844,116.26103210449219,90.3802490234375,72.71923828125,102.4000015258789,102.23999786376953,60.217830657958984
2018-01-18,41.903377532958984,141.15101623535156,125.86000061035156,116.21360778808594,90.5962142944336,72.45411682128906,100.76000213623047,102.08000183105469,59.82780456542969
2018-01-19,41.71637725830078,143.1332550048828,126.41999816894531,116.56165313720703,90.396240234375,73.16918182373047,99.44000244140625,101.76000213623047,59.636192321777344
